"URD3TBLC.Code.or.Value","URD3TBLC.Value.Description","URD3TBLC.Count","URD3TBLC.Cumulative","URD3TBLC.Skip.to.Item"
"0","At or above the detection limit",769,769,NA
"1","Below lower detection limit",1980,2749,NA
".","Missing",70,2819,NA
