"FSD230.Code.or.Value","FSD230.Value.Description","FSD230.Count","FSD230.Cumulative","FSD230.Skip.to.Item"
"1","Yes",2215,2215,""
"2","No",347,2562,"FSD795"
"7","Refused",0,2562,"FSD795"
"9","Don't know",0,2562,"FSD795"
".","Missing",6692,9254,""
