"URXMIB.Code.or.Value","URXMIB.Value.Description","URXMIB.Count","URXMIB.Cumulative","URXMIB.Skip.to.Item"
"0.57 to 513.6","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
