"ARQ100.Code.or.Value","ARQ100.Value.Description","ARQ100.Count","ARQ100.Cumulative","ARQ100.Skip.to.Item"
"1","Yes",159,159,NA
"2","No",295,454,NA
"7","Refused",0,454,NA
"9","Don't know",2,456,NA
".","Missing",4650,5106,NA
