"WTSPP25.Code.or.Value","WTSPP25.Value.Description","WTSPP25.Count","WTSPP25.Cumulative","WTSPP25.Skip.to.Item"
"0 to 836357.66657","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
