"PUQ110.Code.or.Value","PUQ110.Value.Description","PUQ110.Count","PUQ110.Cumulative","PUQ110.Skip.to.Item"
"1","Yes",352,352,NA
"2","No",6745,7097,NA
"7","Refused",4,7101,NA
"9","Don't know",106,7207,NA
".","Missing",228,7435,NA
