"URXMU4.Code.or.Value","URXMU4.Value.Description","URXMU4.Count","URXMU4.Cumulative","URXMU4.Skip.to.Item"
"0.014 to 583","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
