"LBC199LA.Code.or.Value","LBC199LA.Value.Description","LBC199LA.Count","LBC199LA.Cumulative","LBC199LA.Skip.to.Item"
"0.1202 to 30.09","Range of Values",263,263,NA
".","Missing",2,265,NA
