"WTSHM50.Code.or.Value","WTSHM50.Value.Description","WTSHM50.Count","WTSHM50.Cumulative","WTSHM50.Skip.to.Item"
"0.0000000 to 755782.4552500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
