"PAQ500.Code.or.Value","PAQ500.Value.Description","PAQ500.Count","PAQ500.Cumulative","PAQ500.Skip.to.Item"
"1","more active",1529,1529,NA
"2","less active, or",1609,3138,NA
"3","About the same?",4009,7147,NA
"7","Refused",1,7148,NA
"9","Don't know",3,7151,NA
".","Missing",2273,9424,NA
