"LBDLUTSI.Code.or.Value","LBDLUTSI.Value.Description","LBDLUTSI.Count","LBDLUTSI.Cumulative","LBDLUTSI.Skip.to.Item"
"0.0067 to 1.5502","Range of Values",7264,7264,NA
"0.0025","Fill Value of Limit of Detection",4,7268,NA
".","Missing",714,7982,NA
