"RFXC096.Code.or.Value","RFXC096.Value.Description","RFXC096.Count","RFXC096.Cumulative","RFXC096.Skip.to.Item"
"-5.311 to 5.056","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
