"LBXETD.Code.or.Value","LBXETD.Value.Description","LBXETD.Count","LBXETD.Cumulative","LBXETD.Skip.to.Item"
"1","Positive",74,74,NA
"2","Negative",296,370,NA
".","Missing",8809,9179,NA
