"LBDFOT.Code.or.Value","LBDFOT.Value.Description","LBDFOT.Count","LBDFOT.Cumulative","LBDFOT.Skip.to.Item"
"1.44 to 253","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
