"LBXETC.Code.or.Value","LBXETC.Value.Description","LBXETC.Count","LBXETC.Cumulative","LBXETC.Skip.to.Item"
"1","Positive",34,34,NA
"2","Negative",336,370,NA
".","Missing",8809,9179,NA
