"BIXC039K.Code.or.Value","BIXC039K.Value.Description","BIXC039K.Count","BIXC039K.Cumulative","BIXC039K.Skip.to.Item"
"30.07 to 221.45","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
