"LBDF09LC.Code.or.Value","LBDF09LC.Value.Description","LBDF09LC.Count","LBDF09LC.Cumulative","LBDF09LC.Skip.to.Item"
"0","At or above the detection limit",184,184,NA
"1","Below lower detection limit",106,290,NA
".","Missing",11,301,NA
