"RFXRFXDC.Code.or.Value","RFXRFXDC.Value.Description","RFXRFXDC.Count","RFXRFXDC.Cumulative","RFXRFXDC.Skip.to.Item"
"0","False",15970,15970,NA
"1","True",17751,33721,NA
".","Missing",0,33721,NA
