"SSCLOT.Code.or.Value","SSCLOT.Value.Description","SSCLOT.Count","SSCLOT.Cumulative","SSCLOT.Skip.to.Item"
"0.14 to 31.1","Range of Values",2423,2423,NA
".","Missing",15,2438,NA
