"WTIREP23.Code.or.Value","WTIREP23.Value.Description","WTIREP23.Count","WTIREP23.Cumulative","WTIREP23.Skip.to.Item"
"0 to 237791.3281","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
