"OPDDOTHC.Code.or.Value","OPDDOTHC.Value.Description","OPDDOTHC.Count","OPDDOTHC.Cumulative","OPDDOTHC.Skip.to.Item"
"0","No",3041,3041,NA
"1","Questionable",19,3060,NA
"2","Yes",171,3231,NA
"3","Yes, in center",0,3231,NA
".","Missing",632,3863,NA
