"TYXA078.Code.or.Value","TYXA078.Value.Description","TYXA078.Count","TYXA078.Cumulative","TYXA078.Skip.to.Item"
"0.09 to 6.358","Range of Values",5579,5579,NA
".","Missing",6,5585,NA
