"WTSPH50.Code.or.Value","WTSPH50.Value.Description","WTSPH50.Count","WTSPH50.Cumulative","WTSPH50.Skip.to.Item"
"0 to 775462.40387","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
