"TYXA161.Code.or.Value","TYXA161.Value.Description","TYXA161.Count","TYXA161.Cumulative","TYXA161.Skip.to.Item"
"0.09 to 6.383","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
