"WTSPP06.Code.or.Value","WTSPP06.Value.Description","WTSPP06.Count","WTSPP06.Cumulative","WTSPP06.Skip.to.Item"
"0 to 829473.10524","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
