"RFXT110.Code.or.Value","RFXT110.Value.Description","RFXT110.Count","RFXT110.Cumulative","RFXT110.Skip.to.Item"
"955 to 964","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
