"DX2RALE.Code.or.Value","DX2RALE.Value.Description","DX2RALE.Count","DX2RALE.Cumulative","DX2RALE.Skip.to.Item"
"1335 to 6503.4","Range of Values",464,464,NA
".","Missing",21,485,NA
