"LBXTCD.Code.or.Value","LBXTCD.Value.Description","LBXTCD.Count","LBXTCD.Cumulative","LBXTCD.Skip.to.Item"
"2.76 to 235.8","Range of Values",1876,1876,NA
".","Missing",409,2285,NA
