"URDDMALC.Code.or.Value","URDDMALC.Value.Description","URDDMALC.Count","URDDMALC.Cumulative","URDDMALC.Skip.to.Item"
"0","At or above the detection limit;",2659,2659,NA
"1","Below the lower detection limit;",133,2792,NA
".","Missing",149,2941,NA
