"DEX1HDPM.Code.or.Value","DEX1HDPM.Value.Description","DEX1HDPM.Count","DEX1HDPM.Cumulative","DEX1HDPM.Skip.to.Item"
"1","Present",23,23,NA
".","Missing",2969,2992,NA
