"RFXC129.Code.or.Value","RFXC129.Value.Description","RFXC129.Count","RFXC129.Cumulative","RFXC129.Skip.to.Item"
"-6.177 to 7.015","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
