"WTSBA45.Code.or.Value","WTSBA45.Value.Description","WTSBA45.Count","WTSBA45.Cumulative","WTSBA45.Skip.to.Item"
"0 to 358768.25419","Range of Values",946,946,NA
".","Missing",65,1011,NA
