"OPDUMACH.Code.or.Value","OPDUMACH.Value.Description","OPDUMACH.Count","OPDUMACH.Cumulative","OPDUMACH.Skip.to.Item"
"0","No",3228,3228,NA
"1","Questionable",14,3242,NA
"2","Yes",6,3248,NA
".","Missing",615,3863,NA
