"SSUSG.Code.or.Value","SSUSG.Value.Description","SSUSG.Count","SSUSG.Cumulative","SSUSG.Skip.to.Item"
"1.001 to 1.2","Range of Values",6544,6544,NA
".","Missing",15,6559,NA
