"CBD160.Code.or.Value","CBD160.Value.Description","CBD160.Count","CBD160.Cumulative","CBD160.Skip.to.Item"
"0 to 14","Range of Values",10393,10393,NA
"777","Refused",16,10409,NA
"999","Don't know",18,10427,NA
".","Missing",110,10537,NA
