"AUXLR115.Code.or.Value","AUXLR115.Value.Description","AUXLR115.Count","AUXLR115.Cumulative","AUXLR115.Skip.to.Item"
"-45 to 68","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
