"CFDCST1.Code.or.Value","CFDCST1.Value.Description","CFDCST1.Count","CFDCST1.Cumulative","CFDCST1.Skip.to.Item"
"0 to 10","Range of Values",1681,1681,NA
".","Missing",104,1785,NA
