"TYXA058.Code.or.Value","TYXA058.Value.Description","TYXA058.Count","TYXA058.Cumulative","TYXA058.Skip.to.Item"
"0.09 to 6.449","Range of Values",5582,5582,NA
".","Missing",3,5585,NA
