"DUQ430.Code.or.Value","DUQ430.Value.Description","DUQ430.Count","DUQ430.Cumulative","DUQ430.Skip.to.Item"
"1","Yes",186,186,NA
"2","No",1579,1765,NA
"7","Refused",0,1765,NA
"9","Don't know",0,1765,NA
".","Missing",2807,4572,NA
