"RFXC101.Code.or.Value","RFXC101.Value.Description","RFXC101.Count","RFXC101.Cumulative","RFXC101.Skip.to.Item"
"-7.379 to 4.92","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
