"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2797,2797,NA
"1","Below lower detection limit",11,2808,NA
".","Missing",171,2979,NA
