"DX2HEBMD.Code.or.Value","DX2HEBMD.Value.Description","DX2HEBMD.Count","DX2HEBMD.Cumulative","DX2HEBMD.Skip.to.Item"
"1.263 to 3.573","Range of Values",479,479,NA
".","Missing",6,485,NA
