"PFQ090.Code.or.Value","PFQ090.Value.Description","PFQ090.Count","PFQ090.Cumulative","PFQ090.Skip.to.Item"
"1","Yes",694,694,NA
"2","No",4875,5569,NA
"7","Refused",0,5569,NA
"9","Don't know",0,5569,NA
".","Missing",2852,8421,NA
