"LBDPHESI.Code.or.Value","LBDPHESI.Value.Description","LBDPHESI.Count","LBDPHESI.Cumulative","LBDPHESI.Skip.to.Item"
"0.0057 to 3.1031","Range of Values",7174,7174,NA
"0.0039","Fill Value of Limit of Detection",94,7268,NA
".","Missing",714,7982,NA
