"VTQ230B.Code.or.Value","VTQ230B.Value.Description","VTQ230B.Count","VTQ230B.Cumulative","VTQ230B.Skip.to.Item"
"1","Yes",247,247,NA
"2","No",2327,2574,NA
"7","Refused",0,2574,NA
"9","Don't know",15,2589,NA
".","Missing",705,3294,NA
