"VTQ280B.Code.or.Value","VTQ280B.Value.Description","VTQ280B.Count","VTQ280B.Cumulative","VTQ280B.Skip.to.Item"
"1","Yes",191,191,NA
"2","No",2394,2585,NA
"7","Refused",0,2585,NA
"9","Don't know",4,2589,NA
".","Missing",705,3294,NA
