"WTIREP27.Code.or.Value","WTIREP27.Value.Description","WTIREP27.Count","WTIREP27.Cumulative","WTIREP27.Skip.to.Item"
"0 to 238878.16902","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
