"WTSPP27.Code.or.Value","WTSPP27.Value.Description","WTSPP27.Count","WTSPP27.Cumulative","WTSPP27.Skip.to.Item"
"0 to 806358.56522","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
