"AUXLR150.Code.or.Value","AUXLR150.Value.Description","AUXLR150.Count","AUXLR150.Cumulative","AUXLR150.Skip.to.Item"
"-23 to 79","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
