"PAQ724x.Code.or.Value","PAQ724x.Value.Description","PAQ724x.Count","PAQ724x.Cumulative","PAQ724x.Skip.to.Item"
"24","TENNIS",33,33,NA
".","Missing",9222,9255,NA
