"MCQ149.Code.or.Value","MCQ149.Value.Description","MCQ149.Count","MCQ149.Cumulative","MCQ149.Skip.to.Item"
"1","Yes",61,61,""
"2","No",333,394,"MCQ203"
"7","Refused",0,394,"MCQ203"
"9","Don't know",0,394,"MCQ203"
".","Missing",8503,8897,""
