"LBXENDLA.Code.or.Value","LBXENDLA.Value.Description","LBXENDLA.Count","LBXENDLA.Cumulative","LBXENDLA.Skip.to.Item"
"0.3536 to 6.1","Range of Values",1825,1825,NA
".","Missing",512,2337,NA
