"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",1328,1328,NA
"2","No",6163,7491,NA
"7","Refused",9,7500,NA
"9","Don't know",43,7543,NA
".","Missing",823,8366,NA
