"DX2TRLE.Code.or.Value","DX2TRLE.Value.Description","DX2TRLE.Count","DX2TRLE.Cumulative","DX2TRLE.Skip.to.Item"
"13748.4 to 40333.8","Range of Values",443,443,NA
".","Missing",42,485,NA
