"CBD170.Code.or.Value","CBD170.Value.Description","CBD170.Count","CBD170.Cumulative","CBD170.Skip.to.Item"
"0 to 360","Range of Values",9919,9919,NA
"77777","Refused",21,9940,NA
"99999","Don't know",87,10027,NA
".","Missing",510,10537,NA
