"OSQ040ae.Code.or.Value","OSQ040ae.Value.Description","OSQ040ae.Count","OSQ040ae.Cumulative","OSQ040ae.Skip.to.Item"
"1","Under 50 years old, or",0,0,"OSQ025"
"2","50 years old or older?",1,1,""
"7","Refused",0,1,"OSQ025"
"9","Don't know",0,1,"OSQ025"
".","Missing",5934,5935,""
