"LEARBUN.Code.or.Value","LEARBUN.Value.Description","LEARBUN.Count","LEARBUN.Cumulative","LEARBUN.Skip.to.Item"
"1","Yes",807,807,NA
"2","No",1936,2743,NA
"8","Could not obtain",10,2753,NA
".","Missing",333,3086,NA
