"LBDAR1LC.Code.or.Value","LBDAR1LC.Value.Description","LBDAR1LC.Count","LBDAR1LC.Cumulative","LBDAR1LC.Skip.to.Item"
"0","At or above the detection limit",4226,4226,NA
"1","Below lower detection limit",0,4226,NA
".","Missing",1417,5643,NA
