"LBXBSE.Code.or.Value","LBXBSE.Value.Description","LBXBSE.Count","LBXBSE.Cumulative","LBXBSE.Skip.to.Item"
"84.67 to 453.62","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
