"LBXSF2SI.Code.or.Value","LBXSF2SI.Value.Description","LBXSF2SI.Count","LBXSF2SI.Cumulative","LBXSF2SI.Skip.to.Item"
"0.099 to 368","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
