"LBDSF2LC.Code.or.Value","LBDSF2LC.Value.Description","LBDSF2LC.Count","LBDSF2LC.Cumulative","LBDSF2LC.Skip.to.Item"
"0","At or above the detection limit",4562,4562,NA
"1","Below lower detection limit",9,4571,NA
".","Missing",521,5092,NA
