"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2360,2360,NA
"1","Below lower detection limit",295,2655,NA
".","Missing",324,2979,NA
