"DX2LLTOT.Code.or.Value","DX2LLTOT.Value.Description","DX2LLTOT.Count","DX2LLTOT.Cumulative","DX2LLTOT.Skip.to.Item"
"6532 to 30984","Range of Values",467,467,NA
".","Missing",18,485,NA
