"OHD750.Code.or.Value","OHD750.Value.Description","OHD750.Count","OHD750.Cumulative","OHD750.Skip.to.Item"
"1","Yes",3114,3114,NA
"2","No",2494,5608,NA
"7","Refused",1,5609,NA
"9","Don't know",11,5620,NA
".","Missing",3684,9304,NA
